t,stiff_force,compliant_force,stiff_torque,compliant_torque
0.9380,0.0000,0.0000,1049.8693,208.9508
0.9400,0.0000,0.0000,1049.9292,206.1755
0.9420,0.0000,0.0000,1049.9002,209.2079
0.9440,0.0000,0.0000,1049.9538,206.4052
0.9460,0.0000,0.0000,1049.9653,209.4306
0.9480,0.0000,0.0000,1049.9667,206.6027
0.9500,0.0000,0.0000,1049.9497,209.6179
0.9520,0.0000,0.0000,1050.0111,206.7666
0.9540,0.0000,0.0000,1049.9410,209.7632
0.9560,0.0000,0.0000,1049.9953,206.9034
0.9580,0.0000,0.0000,1049.9870,209.8965
0.9600,0.0000,0.0000,1050.0310,207.0180
0.9620,0.0000,0.0000,1050.0196,210.0054
0.9640,0.0000,0.0000,1050.0554,207.1341
0.9660,0.0000,0.0000,1050.0234,210.1237
0.9680,0.0000,0.0000,1050.0546,207.2319
0.9700,0.0000,0.0000,1050.0274,210.2072
0.9720,0.0000,0.0000,1050.0640,207.3163
0.9740,0.0000,0.0000,1050.0473,210.2942
0.9760,0.0000,0.0000,1047.2557,204.1481
0.9780,0.0000,0.0000,1047.1702,207.5838
0.9800,0.0000,0.0000,1047.1691,205.0334
0.9820,0.0000,0.0000,1047.0974,208.2820
0.9840,0.0000,0.0000,1047.1087,205.5234
0.9860,0.0000,0.0000,1047.0615,209.0874
0.9880,0.0000,0.0000,1047.0963,203.9987
0.9900,0.0000,0.0000,1047.0683,209.8104
0.9920,0.0000,0.0000,1047.1003,206.7182
0.9940,0.0000,0.0000,1047.0725,209.4920
0.9960,0.0000,0.0000,1047.1120,206.5383
0.9980,0.0000,0.0000,1047.0979,209.5262
1.0000,0.0000,0.0000,1047.1470,206.6537
1.0020,0.0000,0.0000,1047.1190,209.6699
1.0040,0.0000,0.0000,1047.1678,206.8008
1.0060,0.0000,0.0000,1047.1229,209.8217
1.0080,0.0000,0.0000,1047.1766,206.9495
1.0100,0.0000,0.0000,1047.1783,209.9612
1.0120,0.0000,0.0000,1047.1812,207.0761
1.0140,0.0000,0.0000,1047.1644,210.0788
1.0160,0.0000,0.0000,1047.2146,207.1840
1.0180,0.0000,0.0000,1047.1922,210.1794
1.0200,0.0000,0.0000,1047.2132,207.2792
1.0220,0.0000,0.0000,1047.1751,210.2674
1.0240,0.0000,0.0000,1047.2022,207.3265
1.0260,0.0000,0.0000,1044.2302,206.9313
1.0280,0.0000,0.0000,1044.2177,204.5156
1.0300,0.0000,0.0000,1044.1525,207.8764
1.0320,0.0000,0.0000,1044.1593,205.2459
1.0340,0.0000,0.0000,1044.0879,208.4597
1.0360,0.0000,0.0000,1044.1143,205.7191
1.0380,0.0000,0.0000,1044.0774,208.8558
1.0400,0.0000,0.0000,1044.1177,206.0538
1.0420,0.0000,0.0000,1044.0436,209.1483
1.0440,0.0000,0.0000,1044.1011,206.3107
1.0460,0.0000,0.0000,1044.1031,209.3807
1.0480,0.0000,0.0000,1044.1546,206.5206
1.0500,0.0000,0.0000,1044.1381,209.5713
1.0520,0.0000,0.0000,1044.1773,206.6979
1.0540,0.0000,0.0000,1044.1544,209.7452
1.0560,0.0000,0.0000,1044.2022,206.8586
1.0580,0.0000,0.0000,1044.1906,209.8935
1.0600,0.0000,0.0000,1044.2255,206.9944
1.0620,0.0000,0.0000,1044.1974,210.0215
1.0640,0.0000,0.0000,1044.2412,207.1098
1.0660,0.0000,0.0000,1044.2123,210.1239
1.0680,0.0000,0.0000,1044.2537,207.2162
1.0700,0.0000,0.0000,1044.2224,210.2375
1.0720,0.0000,0.0000,1044.2548,207.3150
1.0740,0.0000,0.0000,1044.2226,210.3275
1.0760,0.0000,0.0000,1041.1891,203.8428
